st_gene_id	gene_id	gene_symbol	read_count_BN5_1_1	read_count_BN5_1_2	read_count_BN5_2_1	read_count_BN5_2_2	read_count_N5_1_1	read_count_N5_1_2	read_count_ctrl_2_1	read_count_ctrl_2_2
G10090_25103	67504	Rnf151	0	0	1	0	0	1	0	2
G10090_6937	66970	Ssbp2	26.19	32	46	65	90.04	101.78	1050.62	845.46
G10090_22399	228410	Cstf3	716.06	692.14	307.11	438.09	720.21	750.25	449.32	442.27
G10090_27191	240427	Setbp1	874	831	1836	2949	1096	858	139	168
G10090_24831	107528	Magee1	134	123	199	292	203	216	106	150
G10090_14750	15568	Elavl1	2097	1810	1612	1608	2082	2156	1316	1323
G10090_13464	319555	Nwd1	5	3.91	5.34	2.96	4.99	7.02	4.04	3.05
G10090_2906	16898	Rps2	52341.87	45753	25317.88	27424.83	45755.92	49278.75	52730	55525
G10090_9553	240444	Kcng2	0	1	0	0	2	2	3	1
G10090_4166	15184	Hdac5	1189	1064	1223	1572	1118	1070	1311	1420
G10090_12531	227721	Plpp7	0	0	0	0	0	0	0	1
G10090_31271	12941	Pcdha5	0	0	0	0	0	1	0	0
G10090_20431	330657	Prss53	20.36	14.69	32.61	45.27	25.05	20.86	50.01	48.39
G10090_9096	12046	Bcl2a1c	10.97	20.89	6.67	4.32	33.67	14.19	3.9	2.16
G10090_15442	17258	Mef2a	1666	1382	1292	1987	1669	1425	2740	2688
G10090_7325	381175	Ccdc68	0	0	0	0	0	0	0	0
G10090_27002	13853	Epm2a	1	0	0	0	0	4	1	1
G10090_17077	21933	Tnfrsf10b	145.52	135.25	121.67	152.71	212.68	197.12	713.05	685.58
G10090_20505	99738	Kcnc4	0	1	0	0	1	6	1	1
G10090_8463	223701	Mkl1	3421	2962	3418	4338	2950	2962	3317	3198
G10090_9816	216136	Ilvbl	673	625.01	439.02	561.07	586.96	708.02	722	754.1
G10090_31941	319984	Jph4	2	1	1	0	5	7	2	1
G10090_6276	414872	Zyg11b	1508.07	1246.57	1014.02	1395.44	1813.09	1542.73	3528.91	3079.99
G10090_5317	70239	Gtf3c5	574	490.02	324	425	709	668	335.03	313.01
G10090_27235	15115	Hars	1312	1177	731	824	1492	1694	959	945
G10090_19214	65019	Rpl23	6429.67	5074.93	2814.49	3062.89	4394.24	5609.49	8093.88	7859.64
G10090_25577	667823	Trim5	553.55	642.96	385.69	418.24	393.94	323.81	318.57	327.88
G10090_22736	68512	Tomm5	743.96	624.23	318.5	394.6	724	876.6	471.38	630.53
G10090_19008	66725	Lrrk2	38.29	37.06	62.91	97.38	218.6	183.03	35.43	22.5
G10090_14735	29813	Zfp385a	10	25	28	28	53	85	41	34
G10090_8169	28254	Slco1a6	0	1	2	2	1	2	5	1
G10090_30459	12833	Col6a1	0	2	0	0	0	1	0	2
G10090_13774	245536	Gm614	49	69	100	162	100	69	316	365
G10090_15922	69257	Elf2	1584	1498	1950.87	2722	1688	1660	2247	2303
G10090_8670	211556	Ap1ar	1166	1020	902	1091	738	761	1078	1023
G10090_14957	140579	Elmo2	1311	1108	1115	1365	1332	1350	1264	1170
G10090_23691	13082	Cyp26a1	0	0	0	1	2	0	1	6
G10090_17583	242602	Lexm	0	2	0	2	0	5	1	0
G10090_14337	100604	Lrrc8c	2166.36	1893.31	2281.49	3265.28	2027.16	1983.21	2033.47	2128.1
G10090_30411	16193	Il6	0	0	12	14	68	79	10	7
G10090_28975	258697	Olfr1444	3	1	5	1	0	1	2	0
G10090_25829	18752	Prkcg	70.09	57	6	13.95	26.04	25	2	4
G10090_9810	50790	Acsl4	1096	1044	738	852	938	829	810	712
G10090_7465	13427	Dync1i2	2313	2146	1607	1953	2074	2216	1466	1477
G10090_7458	18019	Nfatc2	2159	1914	2555	3920	3227	2855	2197	1925
G10090_25183	68662	Scgb3a1	1	2	0	0	0	1	0	0
G10090_13586	27367	Rpl3	40251	36021	22605	25941	32727	34802	51340	54482
G10090_5240	58988	Rps6kb2	532	476	390	569	489	572	663	605
G10090_30110	21454	Tcp1	5158.85	4654.58	2989.68	3665.52	5629.12	5853.81	5051.92	5232.28
G10090_22691	73910	Arhgap18	1375	1182	671	979	1093	1093	322	411
G10090_1059	208439	Klhl29	0	1	0	0	0	2	0	1
G10090_18893	24061	Smc1a	3430	2973	1667	2486	3406	3254	2789	2742
G10090_11706	108167601	Gm28363	0	0.93	0	0	0.49	0	0	0
G10090_5174	228432	Ano3	0	0	0	0	0	1	1	2
G10090_33111	12569	Cdk5r1	58	61	41	86	491	483	95	110
G10090_12343	56292	Naa10	1159	1031	498	543	1156	1251	886.99	930
G10090_9819	433926	Lrrc8b	443	339	161	258	331	281	405	337
G10090_8425	208263	Tor1aip1	2565.79	2252.15	1951.42	2489.78	2891.48	2757.99	3017.18	2602.59
G10090_3613	233575	Pgap2	615.19	546.36	349.41	441.03	587.51	604.99	380.49	352.49
G10090_16417	237858	Trarg1	1	3	0	0	0	5	1	3
G10090_19613	329554	Gm826	0	0	0	1	0	1	0	0
G10090_29660	105247234	Gm42368	17.42	40.2	17.49	10.02	23.75	18.98	45.21	11.24
G10090_23770	69398	Cdhr4	12	4	2	6	5	6	16	24
G10090_14818	105245682	Gm41099	2.83	1	0	2	3	3	2	3
G10090_30547	102635661	LOC102635661	268.6	116.25	105.92	146.08	177.91	276.77	161.19	130.5
G10090_19328	244058	Rgma	0	1	4	0	1	1	2	1
G10090_32300	319148	Hist1h3c	21.9	17.68	0	0	35.42	34.06	0	2.9
G10090_7517	268345	Kcnc2	2.99	2	1.12	2.33	3	7	0	0
G10090_4305	228787	Xkr7	0	0	2	7	1	0	0	0
G10090_14261	66154	Tmem14c	1027	900	487	528	1052	1217	694	637
G10090_19023	224656	Zfp523	676	597	749	755	390	446	334	296
G10090_14719	16648	Kpna3	1272	1149	832	955	1526	1437	909	799
G10090_16107	70884	Ccdc81	0	0	0	0	0	0	0	0
G10090_19590	71163	Zfp626	232.23	216.85	209.29	260.59	162.16	143.91	141.24	165.08
G10090_1455	212528	Trmt1	1710	1577	1165	1293	1357	1486	2636	2395
G10090_20980	245643	Frmpd3	0	0	0	0	0	1	0	1
G10090_15844	12929	Crkl	2362	1967	2061	2797	2594	2419	2288	2140
G10090_255	14933	Gk	238	213	98	131	225	188	136	131
G10090_11653	233274	Siglech	2	2	10	17	35	26	36.01	57.25
G10090_2073	72119	Tpx2	735.02	640.01	53.24	120.92	1076.01	997.69	72.29	66.31
G10090_12839	13199	Ddn	8	6	1	0	7	5	1	2
G10090_2166	237782	Smcr8	1331	1190	1107	1849	1639	1273	1551	1459
G10090_2497	78653	Bola3	460	356	191	211	377	454	254	236
G10090_8387	21855	Timm17b	994.11	781.26	478.85	536.17	726.16	835.34	417.15	470.55
G10090_7664	224903	Safb	1728.99	1467.24	1766.45	2457.63	2079.28	2061.59	2135.17	1988.25
G10090_9414	74349	Fam160a2	449	371	257	407	474	483	681.62	634
G10090_5046	102638514	Gm35060	2.01	1	1	4	0	1	4.01	6
G10090_27204	73251	Setd7	1588	1521	1660	2205	1590	1422	2341.98	2035.01
G10090_15417	74032	Sdr42e1	39	44	32	51	26	48	46	19
G10090_7734	106628	Trip10	13	17	6	13	62	90	35	39
G10090_162	58869	Pex5l	0	0	6	6	0	0	0	0
G10090_17943	194357	Moxd2	0	2	0	0	2	3	1	0
G10090_27730	103711	Pnpo	666	539	364	436	622	703	687	546
G10090_7488	102635699	Gm32970	0	0	0	1	0	0	0	0
G10090_16329	636931	Trim71	0	0	0	0	1	0	0	0
G10090_12457	22608	Ybx1	15064.81	12514.05	6342.23	7780.76	15651.48	17211.94	8704.54	8901.32
G10090_16470	76123	Gpsm2	810.39	699.99	364.57	511.5	650.75	636.89	441.54	247.22
G10090_27230	383592	Kif28	2.01	0	0.86	1	2.01	0	0	0
G10090_12608	59010	Sqor	79	52	33	47	104	109	34	47
G10090_33743	328660	Bex6	0	0	1	4	9	3	1	2
G10090_7345	22343	Lin7c	1476	1203	1204	1594	1575	1483	1410	1365
G10090_29172	16852	Lgals1	6237	5290	2686	3665	8136	9015	690	1139
G10090_11770	74187	Katnb1	910	769	811	1017	847	905	739	759
G10090_7294	66940	Shisa5	27714	25029	25884	27748	23604	26477	41066	37056
G10090_3201	73813	Fam83e	11	8	7	6	6	16	15	10
G10090_8499	79264	Krit1	1068	1062	967	1227	1070	1116	1236	1299
G10090_6121	108168771	LOC108168771	1.04	10.81	7.47	13.65	14.14	8.53	8.46	9.8
G10090_29851	382019	Zfp882	136.74	154.65	159.32	209.52	104.92	130.7	118.86	140.58
G10090_33782	105246872	Gm42078	0	0	24.69	22.89	45.82	33.93	110.29	77.48
G10090_28333	14999	H2-DMb1	38.49	16.51	83.84	89.95	149.61	165.97	111.76	86.23
G10090_9307	213435	Mylk3	5	1	1	1	6	3	0	4
G10090_7106	271697	Cdk15	8.32	2.22	5.07	4.96	3.04	4.55	3.08	1.1
G10090_22311	67306	Zc2hc1a	9	4	59	70	17	21	1	6
G10090_16833	71897	Lypd6b	28	23	0	1	7	6	303	394
G10090_32354	228576	Mall	0	0	0	0	0	2	0	0
G10090_4579	207704	Gtpbp10	306	248	148	165	199	180	156	154
G10090_20595	14134	Fcnb	1	0	7	22	17	15	10	5
G10090_30402	243339	Tmem130	0	0	0	1.1	0	2.02	2.03	3.18
G10090_10933	66968	Plin5	0	0	0	0	0	0	0	1
G10090_8665	80721	Slc19a3	0	0	1	1	1	1	0	0
G10090_23075	224813	Lrrc73	19	18	18	20	43	45	26	25
G10090_23412	100042881	Gm10352	0	0	0	0	0	0	0	0
G10090_1227	12517	Cd72	2181.65	1828.85	2247.3	2684.32	1167.22	1338.67	814.14	846.95
G10090_6505	106347	Ildr1	481	457	422	518	1007	1059	282	194
G10090_3245	216150	Cdc34	1251	1081	722	888	1244	1516	1051	1125
G10090_24628	224648	Uhrf1bp1	135	120	61	72	193	144	127	79
G10090_22680	68332	Sdhaf1	534	471	342	294	468	539	366	358
G10090_9809	94281	Sfxn4	49.96	37.85	62.87	78.81	70.48	71.72	61.46	55.87
G10090_17402	72039	Mccc1	332.98	257.52	187.71	249.01	286.02	281	267.03	250
G10090_13043	105244832	Gm40368	120.59	116.12	83.36	55.6	63.87	106.18	99.74	128.86
G10090_29995	30045	Dnajc12	30	38	52	68	58	65	24	14
G10090_16368	74424	Tmc5	1	0	0	0	1	1	0	0
G10090_1273	18514	Pbx1	3.97	4	14.07	20	21.79	19.2	11	11.56
G10090_6988	212862	Chpt1	217.01	196.09	219.54	274.06	260.71	265.93	164.78	152
G10090_23664	100042450	Smim17	1	0	0	0	2	0	1	0
G10090_16316	218639	Arl15	309	215	312.51	412	283	256.22	274.02	251
G10090_20118	67629	Spc24	257.61	245.31	43.24	59.71	302.7	360.66	68.59	53.4
G10090_17379	54405	Ndufa1	557	381	315	332	477	606	367	386
G10090_380	75430	Anapc15	368.78	293.65	160	177	329.32	370.41	263.4	243.84
G10090_18663	435528	Glyatl3	0	2	1	1	2	0	1	3
G10090_8022	194590	Reps2	1.23	0.76	0	5.46	7.86	15.12	3.2	1.02
G10090_9766	14538	Gcnt2	12.03	10.27	30.48	40.3	72.37	74.19	25.05	28.11
G10090_7757	333789	N4bp2	1257.82	1066.27	504.19	930.73	1309.47	1054.04	904.72	1008.18
G10090_30117	69068	Tcim	0	1	0	1	1	1	0	1
G10090_4692	245828	Trappc1	633	509	316	353	564	632	175	202
G10090_26136	108168628	LOC108168628	0	0	0	0	0	0	0	0
G10090_2000	27083	Xlr4b	659.75	634.38	616.47	834.94	728.5	798.66	718.53	830.89
G10090_140	68977	Haghl	267.72	223.33	117.73	93.06	247.23	274.21	138.97	134.64
G10090_18973	212980	Slc45a3	4	4	8	9	13	18	13	5
G10090_31651	269799	Clec4a1	35	20	36	37	63	78	37	31.06
G10090_28260	268420	Alkbh5	2923.54	2382.72	2513.35	3516.34	4349.23	4260.08	3613.76	3610.82
G10090_9933	231642	Alkbh2	253.75	205.89	167	185.66	162.99	186	105.26	127.58
G10090_10832	116852	Akr1c20	1.04	0	0	0	0	0	0	0
G10090_6629	29858	Pmm1	465	376	216	219	324	359	241	245
G10090_32490	100504663	Atg14	305	255	177	187	238	253	304	369
G10090_5614	18826	Lcp1	26025	22213	19040	27414	33645	33318	24121	24696
G10090_6723	242553	Kank4	0	1	0	0	0	5	1	1
G10090_23992	13347	Dffa	617	482	355	456	563	578	488.01	491
G10090_3785	93757	Immp2l	336	341	383	424	210	224	47	62
G10090_6245	67972	Atp2b1	1773	1663	1595	2380	2172	1915	1099	1294
G10090_6659	18769	Pkig	78	60	24	48	120	140	50	47
G10090_19773	12902	Cr2	4.94	3.91	4	5	40.99	44	4	5.45
G10090_12235	215351	Senp6	3514	3144	2783	3883	3702	3501	4017	4030
G10090_2061	17868	Mybpc3	2	1	2	4	6	2	13	5
G10090_21640	270906	Prr11	256.49	222.56	44.59	73.34	409.36	467.06	43.95	51.13
G10090_23205	211446	Exoc3	1328	1095	887	1275	1130	1066	1043	1190
G10090_22017	436003	Hbb-bh2	6.39	9.14	16.79	13.26	10.45	7.24	11.8	11.2
G10090_4729	105501	Abhd4	696	658	420	481	807	777	62	52
G10090_367	58994	Smpd3	15.49	11.12	3.18	6.17	5.68	10.64	11.38	7.62
G10090_19118	66905	Plin3	602.14	504.84	339.77	452.25	637.55	611.8	392.15	328.42
G10090_7718	67997	Ddx59	275	223	189	255	189	188	185	198
G10090_26525	108167809	Gm46223	160.49	86.92	131.04	61.16	258.01	65.29	421.48	221.31
G10090_23983	112407	Egln3	136	122	82	84	1175	1180	86	99
G10090_30594	105247109	Gm42267	156.27	157.32	334.87	335.28	302.06	243.23	507.29	337.83
G10090_32060	13543	Dvl2	1114	997	673	874	766	808	656	683
G10090_6177	77864	Ypel2	510	459	353	509	775	757	117	108
G10090_13769	268449	Rpl23a	28606	26300	20364	22616	23660	26590	40230	43399
G10090_1349	14282	Fosb	20393	20083	19855	36157	24762	26397	16135	13816
G10090_17193	20668	Sox13	0	0	0	0	1	1	3	3
G10090_25863	16456	F11r	5.05	3.04	2.05	4.4	10.14	15.37	2.03	7.07
G10090_8634	19701	Ren1	2	0	0	0	2	1	0	0
G10090_8840	211712	Pcdh9	0	1	0	2	0	0	0	0
G10090_6892	229782	Slc35a3	1159	1037	695	873	980.97	924	608	578
G10090_3689	332579	Card9	8	9	16	18	24	20	46	39
G10090_31898	59001	Pole3	190	158	83	109	223	208	189	142
G10090_13560	21672	Prdx2	2163	1847	768	874	2308	2568	845	901
G10090_7356	72462	Rrp1b	964.36	990.49	399.69	456.21	964.2	957.4	856.46	778.95
G10090_4846	236848	Tmem185a	448	407	457	582	451	495	393	391
G10090_24073	103554	Psme4	1522	1342	836	1230	1941	1672	1260	1137
G10090_7767	13400	Dmpk	9	7	50	51	16	13	18	15
G10090_6899	237860	Ssh2	4656.05	3916.03	8598.57	13922.35	8295.99	7189.03	12813.19	12232.89
G10090_13667	217342	Ube2o	696	646	725	1003	1001	922	859	719
G10090_8369	21371	Tbca	699	534	455	476	615	726	650	789
G10090_20938	217864	Rcor1	2464	2244	1395	2127	2252	1970	2478	2419
G10090_2121	13047	Cux1	2026	1673	1264	1576	1783	1681	1579	1537
G10090_23092	545814	Smok3a	1	0	0	1	0	0	0	0
G10090_20998	320701	Fam19a4	0	0	0	1	0	0	0	0
G10090_13306	18117	Emc8	599.15	478.31	324.13	433.66	437.33	487.79	283.06	285.92
G10090_29549	15482	Hspa1l	20.47	24.1	13.45	19.11	24.18	11.46	30.17	22.72
G10090_14979	330577	Saxo2	0	2	2	0	5	3.99	0	1
G10090_19792	11770	Fabp4	3	2	2	2	7	5	5	4
G10090_30215	67673	Elob	1824	1595	1314	1329	1927	2231	1263	1325
G10090_25700	66797	Cntnap2	0	0	1	1	0	0	1	1
G10090_1916	18607	Pdpk1	2189.75	1854.22	1667.98	2313.32	2323.8	2075.25	2367.15	2338.7
G10090_799	66817	Tmem170	81	66	72	59	64	76	61	60
G10090_32801	11732	Ank	418	428	839	1063	467	453	549.4	525
G10090_17142	228491	Zfp770	319	304	155	222	219	226	177	173
G10090_12844	319207	Pgbd1	7	9	13	11	13	7	10	8
G10090_2477	67222	Srfbp1	1129	938	2745	3060	668	698	671	699
G10090_15343	21828	Thbs4	0	0	0	0	0	0	0	0
G10090_7709	70918	Nsun7	2.46	2.01	1	10.74	11.03	11.02	2.13	6.7
G10090_21342	105245278	Gm40755	8	5.03	27.08	30.04	5	9.05	1	2.05
G10090_12749	19084	Prkar1a	11195	9600	7967	10075	11794	11879	7168	7384
G10090_28802	19386	Ranbp2	2897	2737	2281	4035	4028	3000	3977	3907
G10090_5763	101437	Dhx32	461.15	444.29	462.84	520.31	422.53	456.54	470.42	391.46
G10090_26936	23993	Klk7	1	1	2	0	3	3	6	3
G10090_11208	333182	Cox6b2	8	11	1	2	20	23	6	8
G10090_21754	666731	Trim43c	2.1	3	0.84	1	1.36	4	1.07	1.99
G10090_1689	17354	Mllt10	1919.46	1856.43	1732.07	2472.07	1807.08	1559.32	2238.89	2226.92
G10090_15166	56451	Suclg1	1682	1370	605	624	1278	1458	867	888
G10090_12358	72258	Kcnk10	219.19	201.01	113	222.01	23.01	28.97	2	10
G10090_7282	21940	Cd27	8052.12	6980.33	4884	6313.08	6303	7097.14	4201	3991
G10090_11632	66866	Nhlrc2	766	762	709	905	824	698	769	758
G10090_28623	14154	Fem1a	1013.64	927.37	1036	1270	994.7	855.31	1122	929.01
G10090_4269	78081	Crisp4	0	0	0	0	1	0	0	0
G10090_15797	102920	Cenpi	133	112	38	55	153	105	28	27
G10090_13745	70294	Rnf126	1808	1612	1265	1514	1612	1875	2014	1872
G10090_21472	230972	Arhgef16	0	0	1	5	4	3	0	0
G10090_6158	56296	Dmrtb1	0	0	0	0	0	0	0	0
G10090_4116	408059	BC049352	46.29	47.95	45.85	57.56	57.9	39.52	17.03	13.31
G10090_27694	214669	L3mbtl2	1061.76	976.02	721.53	920.06	900.47	963.89	1015.75	1000.55
G10090_12186	171382	Trpm8	0	1	0	0	0	0	0	0
G10090_4089	102640399	102640399	0	0	0	0	0	0	0	0
G10090_10509	244723	Olfm2	3	1	1	3	1	1	7	4
G10090_16602	70160	Vps36	781	688	384	508	788	786	434	467
G10090_6622	234700	Nrn1l	3	2	5	5	4	6	5	4
G10090_9875	230801	Pigv	638.22	568.53	673	822.79	467.09	479.09	446.34	423.99
G10090_19995	99586	Dpyd	0	3.18	0	2.05	1	0	0	0
G10090_12518	20847	Stat2	800	869	1145	1357	1275	1271	2776	1940
G10090_17820	80880	Kank3	35	32	15	7	24	28	12	9
G10090_2005	68010	Bambi	52	41	114.99	135	113	145.15	514	460
G10090_12060	228005	Ppig	2160	1760	1523	1799	2122	2064	1959	1869
G10090_17006	102636566	Gm10103	0	1	0	0	1	0	0	0
G10090_24685	108857	Ankhd1	2152	2062	2038	3309	2405	2071	3024	2933
G10090_6105	102640658	Gm36672	0	0	0	0	0	0	0	0
G10090_5538	207781	C2cd2	156.45	115.9	101.75	128.5	347.75	347.59	266.43	265.91
G10090_32656	235041	Kank2	8.46	6.29	2.28	2.92	16.31	3.83	2.4	8.15
G10090_4669	16978	Lrrfip1	3948	3514	3032	4364	4613	4188	3498	3346
G10090_23724	100041279	Gm3248	0	0	0	0	2.23	1.35	0	0
G10090_13082	666168	Cyp4a31	0	0	0	1.18	0	0	0	0
G10090_7020	15444	Hpca	3.23	0	0	4.26	1.14	2.12	3.18	0
G10090_26498	56248	Ak3	2224.68	1935.08	2176.39	2643.27	2222.76	2120.74	866.44	975.92
G10090_5160	13385	Dlg4	126	111	30	48	136	170	785	678
G10090_26111	20474	Six4	3.1	5.08	2.11	7.96	2.04	8.05	4.23	5.08
G10090_30015	20495	Slc12a1	1	1	0	0	0	0	0	0
G10090_22865	71835	Lancl2	239	222	58	95	274	270	85	67
G10090_18958	20286	Zc3h7b	3070.15	2485.76	1133.59	1470.34	2432.19	2334.87	1584.91	1399.69
G10090_10672	58193	Extl2	124	117	57	77	135	158	107	118
G10090_5507	83396	Glis2	5	6.01	3.01	7.03	14.02	10.01	10.01	9.01
G10090_16163	381077	Ccdc78	22.92	12.09	23.54	22.95	20.47	14.83	29.01	17.38
G10090_2633	66199	Commd4	806	738	540	600	673	812	551	613
G10090_9	16169	Il15ra	72	57	180	152	173	164	224	181
G10090_18900	22682	Zfand5	1277	1258	1073	1502	1633	1750	1275	1374
G10090_7780	71521	Pds5a	4190	3915	2577	4106	5306	4482	4318	4373
G10090_3227	223753	Cerk	2088	1815	1515	2062	1979	1944	1175	1187
G10090_1531	22249	Unc13b	114	85	484.11	549	411	373	28	18
G10090_12637	329628	Fat4	4	7	41	33	0	1	1	2
G10090_8626	19139	Prps1	776.45	619.37	875.14	1037.04	856.9	887.14	1311.95	1168.02
G10090_26115	74525	Fam234b	17	19	7	28	213	204	523	419
G10090_33768	11409	Acads	1049	857	608	613	1061	1107	467	446
G10090_19650	66497	Cmss1	172	158	82	117	193	187	93	76
G10090_16177	353047	Plekhm1	1122	1004	1308	1761	1361	1202	1196	1157
G10090_22920	209815	Tbc1d25	236	215	282	376	267	285	280	300
G10090_12897	213248	Wdr49	0	0	0	0	0	0	0	4
G10090_32074	24064	Spry2	3660	3367	11964	14460	1438	1525	351	749
G10090_6872	81898	Sf3b1	12141	11692	9455	14368	15482	14450	17214	18377
G10090_16045	69922	Vrk2	392.34	350.38	399.23	501.5	386.19	387.62	354.26	368.88
G10090_31242	217337	Srp68	1741	1581	1278	1500	1641	1795	1661	1517
G10090_15815	434113	Vmn2r44	0	0	0	0	0.78	0	0	0
G10090_5193	21778	Tex9	360.84	356.33	147.19	185.53	261.23	246.59	266.23	244.65
G10090_3057	66121	Chchd1	464	362	161	152	270	379	271	269
G10090_3474	108012	Ap1s2	1018	851	1427	1642	1047	1069	337	375
G10090_11639	208638	Slc25a38	413.1	307.3	476.64	611.56	500.01	542.99	691.63	718.14
G10090_23787	266692	Cpne1	2963.6	2532.61	2079.61	2495.01	2607.21	2428.69	1967.23	1686.5
G10090_20127	66810	Rbm22	2467	2115	1918	2522	2568	2812	2874	2842
G10090_6690	665574	Gm7694	0	2	2	9	5.91	5	3	4
G10090_3220	14447	Gapdhs	10	5	11	15	9	9	19	14
G10090_19066	328830	A530064D06Rik	10	7.7	13.22	23.51	18.82	16.72	9.94	20.26
G10090_28392	103466	Nt5dc3	740.53	572.32	476.98	578.15	528.57	535.95	525.58	382.84
G10090_8406	17761	Map7	288	219	71	89	242	265	498	486
G10090_23061	110954	Rpl10	26885	25282.89	16425.05	18449.8	24628.66	26666.03	32785.77	35235.38
G10090_2543	242585	Slc35d1	322.19	292.19	373.63	413.18	314.73	308.68	289.39	273.87
G10090_22403	13590	Lefty1	0	0	0	1.22	3.56	4.77	4.7	9.45
G10090_23460	17153	Mal	0	0	0	1	0	2	1	0
G10090_28247	217305	Cd300ld	17.42	19.78	26.58	33.13	56.24	54.85	22.11	33.62
G10090_8996	93690	Gpr45	0	0	0	1	12	13	0	0
G10090_5182	171211	Edaradd	8	10	2	1	12	8	21	21
G10090_16078	67790	Rab39b	73	72	59	76	203	210	3	4
G10090_13212	11666	Abcd1	1499.96	1335.32	705.84	922.55	1345.72	1368.43	780.44	703.57
G10090_2007	22763	Zfr	1685	1488	1335	1771	1992	1832	1656	1634
G10090_6522	246316	Lgi2	4	3	40	43	15	8.08	3.93	1
G10090_10940	68971	Tamm41	230	238	145	175	219	249	235	217
G10090_25286	100862415	LOC100862415	0	0	0	0	0	0	0	0
G10090_29712	76938	Rbm17	1508	1389	997	1258	1584	1781	1950	1789
G10090_30174	100042784	Prdm11	114	108	78	114	98	88	134	105
G10090_8597	23970	Pacsin2	954.03	899.07	1073.03	1303.05	1072	1159.03	421	463.2
G10090_1882	65102	Nif3l1	321.29	299.04	216.98	272.86	403.02	490.7	554.75	647.77
G10090_6412	214897	Csnk1g1	1088.41	956.58	816.75	1131.68	1043.09	940.17	1046.83	989.56
G10090_23145	74388	Dpp8	2426	2308	1200	1671	2580	2258	1384	1423
G10090_16226	194908	Pld6	2	1	0	0	3	9	1	2
G10090_25323	230500	Efcab7	32	33	26	49	47	34	28	28
G10090_34009	22147	Tuba3b	0	0	2.04	0	3.97	4.08	2.54	4.82
G10090_16345	619331	Zfp551	55	53	27	34	42	51	39	33
G10090_859	21926	Tnf	216	244	89	155	325	337	797	709
G10090_8785	13800	Enah	7.1	10.07	14.78	13.31	11.02	7.94	2.28	7.42
G10090_33615	232585	Vwde	0	0	1	1	51	51	0	0
G10090_12077	22059	Trp53	4238	3515	2882	3121	2921	2864	3497	3085
G10090_11982	55992	Trim3	38	53	106	109	110	158	73	92
G10090_25345	66113	Apoa5	0	0	0	1	0	0	0	0
G10090_29404	193034	Trpv1	0	0	0	0	0	2	1	1
G10090_12547	12493	Cd37	4529	4042	3154	3429	4550	4760	4446	3676
G10090_28937	68943	Pink1	2414	2196	2108	2440	1804	1950	1740	1460
G10090_33093	18101	Nmbr	19	8	8	12	0	0	0	1
G10090_359	17918	Myo5a	681.99	752.76	422.37	711.8	911.41	754.64	229.19	226.46
G10090_11095	75320	Etnk1	3339	3034	2993	3567	2978	2669	4505	3485
G10090_3723	93687	Csnk1a1	7979	6746	4288	5585	8306	8456	6013	6306
G10090_4570	100042856	Gm4070	5278.05	6243.53	9255.35	17415.14	3693.8	3846.53	17120.58	11369.65
G10090_31969	271457	Rab5a	1568.8	1521.95	1365.87	1606.64	1647.76	1595.7	1534.55	1447.72
G10090_5135	17136	Mag	2	2	16	28	7	16	8	1
G10090_3391	74103	Nebl	8.62	7.06	21.65	38.04	40.25	27.13	18.94	17.34
G10090_10776	21676	Tead1	19.62	52.78	179.47	231.42	91.1	80.35	15.21	21.89
G10090_12023	74430	4930452B06Rik	38	21	4	2	59	85	1	0
G10090_28409	68036	Zfp706	2837.89	2506.78	1884.65	2243.49	2463.69	2567.29	1856.63	1812.47
G10090_31588	170459	Stard4	920	839	399	464	829	793	306	359
G10090_28290	17879	Myh1	0	0	0	0	0	0	2	0
G10090_10947	12790	Cnga3	7.04	5.12	4.12	8.97	6.62	5.34	8.64	7.08
G10090_3460	211914	Asap2	116.83	109.87	380.15	473.76	237.85	201.12	150.82	133.86
G10090_14468	226151	Slf2	857.95	754.31	861.85	1307.41	904.58	855.95	1164.49	1055.2
G10090_4662	192653	Ttc36	6	0	11	6	7	6	8	10
G10090_24661	66212	Sec61b	1825	1529	705	819	1538	1896	1135	1258
G10090_6515	382245	Tmem29	195	150	91	99	131	149	31	51
G10090_22757	16600	Klf4	5107	4036	2102	4317	5641	5972	4754	4100
G10090_29511	13072	Cyp11b2	0	0	0	2.95	0	0	0	0
G10090_5404	232223	Txnrd3	7	10	5	10	36	52	36	40
G10090_6419	72654	Ccdc12	1063	881	526	568	773	1037	774	718
G10090_8820	70373	Gpatch2l	1027	935	722	950	925	856	1019	924
G10090_11761	214804	Syde2	6	5	2	2	80	75	320	294
G10090_10813	69048	Slc30a5	1107	1014	761	894	1029	1038	874	900
G10090_10692	216877	Dhx33	1175	1055	696.92	870	1003	922.02	1076	1021
G10090_13150	60595	Actn4	6737.71	5707.02	4000.49	5161.8	7034.75	6730.05	5313.07	4913.92
G10090_19121	76497	Ppp1r11	454	410	371	425	486	565	364	397
G10090_32217	93887	Pcdhb16	0	0	0	0	0	1	0	0
G10090_8081	434215	Lrrc32	2	1	4	5	67	84	24	10
G10090_1982	11518	Add1	6161	5285	6364	8106	4813	4709	6732	6815
G10090_27798	320116	Fndc9	97	88	34	61	146	145	73	72
G10090_15693	67008	Yae1d1	108	122	98	119	66	101	111	98
G10090_21939	71769	Bbs10	24	23	9	24	36	28	15	16
G10090_5626	381680	Nxpe5	1	0	3	6	0	2	2	4
